Power Kick2 ,[88]Power Kick 2,,,,,,,Power Kick2 ,909 Comp BD ,909 Comp BD ,HipHopK2,,909 Comp BD ,,,[88]Power Kick 2,,,,,,,,Hip-Hop Kick 2,Hip-Hop Kick 2,909 Comp BD ,Hip-Hop Kick 2,Hip-Hop Kick 2,Hip-Hop Kick 2,Hip-Hop Kick 2,,Power Kick2 ,,,,,,,,[88]Power Kick 2,Power Kick2 ,,,,,,,[88]Power Kick 2,,,,,,,,,,,,,,
Elec Kick 2 ,[88]Elec Kick 2,,,,,,,Elec Kick 2 ,TR-909 BD2  ,TR-909 BD2  ,909 K1  ,,TR-909 BD2  ,,,[88]Elec Kick 2,,,,,,,,TR-909 Kick 1,TR-909 Kick 1,TR-909 BD2  ,TR-909 Kick 1,TR-909 Kick 1,TR-909 Kick 1,TR-909 Kick 1,,Elec Kick 2 ,,,,,,,,[88]Elec Kick 2,Elec Kick 2 ,,,,,,,[88]Elec Kick 2,,,,,,,,,,,,,,
Elec Kick 1 ,[88]Elec Kick 1,,,,,,,Elec Kick 1 ,HipHop BD2  ,HipHop BD2  ,HipHopK3,,HipHop BD2  ,,,[88]Elec Kick 1,,,,,,,,Hip-Hop Kick 3,Hip-Hop Kick 3,HipHop BD2  ,Hip-Hop Kick 3,Hip-Hop Kick 3,Hip-Hop Kick 3,Hip-Hop Kick 3,,Elec Kick 1 ,,,,,,,,[88]Elec Kick 1,Elec Kick 1 ,,,,,,,[88]Elec Kick 1,,,,,,,,,,,,,,
TR-808 Kick ,[88]TR-808 Kick,,,,,,,TR-808 Kick ,JungleBD Set,JungleBD Set,JungleK1,,JungleBD Set,,,[88]TR-808 Kick,,,,,,,,Jungle Kick 1,Jungle Kick 1,JungleBD Set,Jungle Kick 1,Jungle Kick 1,Jungle Kick 1,Jungle Kick 1,,TR-808 Kick ,,,,,,,,[88]TR-808 Kick,TR-808 Kick ,,,,,,,[88]TR-808 Kick,,,,,,,,,,,,,,
TR-909 Kick ,[88]TR-909 Kick,,,,,,,TR-909 Kick ,Techno BD1  ,Techno BD1  ,TechnoK1,,Techno BD1  ,,,[88]TR-909 Kick,,,,,,,,Techno Kick 1,Techno Kick 1,Techno BD1  ,Techno Kick 1,Techno Kick 1,Techno Kick 1,Techno Kick 1,,TR-909 Kick ,,,,,,,,[88]TR-909 Kick,TR-909 Kick ,,,,,,,[88]TR-909 Kick,,,,,,,,,,,,,,
Dance Kick 2,[88]Dance Kick,,,,,,,Dance Kick 2,Bounce      ,Bounce      ,Bounce K,,Bounce      ,,,[88]Dance Kick,,,,,,,,Bounce Kick,Bounce Kick,Bounce      ,Bounce Kick,Bounce Kick,Bounce Kick,Bounce Kick,,Dance Kick 2,,,,,,,,[88]Dance Kick,Dance Kick 2,,,,,,,[88]Dance Kick,,,,,,,,,,,,,,
Voice One,Voice One,Voice One,,,,,,Voice One,Voice One,Voice One,,,Voice One,,,Voice One,,,,,,,,Voice One,Voice One,Voice One,Voice One,Voice One,Voice One,Voice One,,Voice One,Voice One,,,,,,,Voice One,Voice One,Voice One,,,,,,Voice One,,,,,,,,,,,R Bs Mute NZ,,,
Voice Two,Voice Two,Voice Two,,,,,,Voice Two,Voice Two,Voice Two,,,Voice Two,,,Voice Two,,,,,,,,Voice Two,Voice Two,Voice Two,Voice Two,Voice Two,Voice Two,Voice Two,,Voice Two,Voice Two,,,,,,,Voice Two,Voice Two,Voice Two,,,,,,Voice Two,,,,,,,,,,,R Bs StQuail,,,
Voice Three,Voice Three,Voice Three,,,,,,Voice Three,Voice Three,Voice Three,,,Voice Three,,,Voice Three,,,,,,,,Voice Three,Voice Three,Voice Three,Voice Three,Voice Three,Voice Three,Voice Three,,Voice Three,Voice Three,,,,,,,Voice Three,Voice Three,Voice Three,,,,,,Voice Three,,,,,,,,,,,R Bs Atk NZ ,,,
85Rm BsDrum1,,,,,,,,85St BsDrum1,Jngl BD     ,HipHop BD 2 ,909 BD1     ,,Fat BD      ,,,,,,,,,,,,,909 BD      ,,,,,,85Br BsDrum1,,,,,,,,,85Jz BsDrum1,,,,,,,,,,,,,,,,,,R ClnGtCutUp ,,,
85Rm BsDrum2,,,,,,,,85St BsDrum2,Jngl BD 2   ,HipHop BD   ,Fat BD,,Dance BD,,,,,,,,,,,,,909 BD 2    ,,,,,,85Br BsDrum2,,,,,,,,,85Jz BsDrum2,,,,,,,,,,,,,,,MC-500 Beep 1,,,R ClnGtCutDn ,,,
MC-500 Beep,MC-500 Beep 1,MC-500 Beep,,,,,,MC-500 Beep,MC-500 Beep,MC-500 Beep,,,MC-500 Beep,,,MC-500 Beep 1,,,,,,,,MC-500 Beep 1,MC-500 Beep 1,MC-500 Beep,MC-500 Beep 1,MC-500 Beep 1,MC-500 Beep 1,MC-500 Beep 1,,MC-500 Beep,MC-500 Beep,,,,,,,MC-500 Beep 1,MC-500 Beep,MC-500 Beep,,,,,,MC-500 Beep 1,,,,,,,,MC-500 Beep 2,,,R ClnGtrMtUp,,,
MC-500 Beep,MC-500 Beep 2,MC-500 Beep,,,,,,MC-500 Beep,MC-500 Beep,MC-500 Beep,,,MC-500 Beep,,,MC-500 Beep 2,,,,,,,,MC-500 Beep 2,MC-500 Beep 2,MC-500 Beep,MC-500 Beep 2,MC-500 Beep 2,MC-500 Beep 2,MC-500 Beep 2,,MC-500 Beep,MC-500 Beep,,,,,,,MC-500 Beep 2,MC-500 Beep,MC-500 Beep,,,,,,MC-500 Beep 2,,,,,,,,Guitar Slide,,,R ClnGtrMtDn,,,
